0;17;23321;maria;3434341
0;18;23321;miguel;3434341
0;19;23321;maria;3434341
0;0;23321;maria;3434341
0;1;23321;miguel;3434341
0;0;23321;miguel;3434341
0;1;23321;maria;3434341
0;2;23321;maria;3434341
0;3;23321;maria;3434341
0;4;23321;maria;3434341
0;5;23321;maria;3434341
0;6;23321;maria;3434341
0;7;23321;maria;3434341
0;0;23321;maria;3434341
0;1;23321;miguel;3434341
0;2;23321;maria;3434341
0;3;23321;miguel;3434341
0;4;23321;maria;3434341
0;5;23321;juan;3434341
0;6;23321;jose;3434341
0;7;23321;mateo;3434341
0;8;23321;fercho;3434341
0;9;23321;andresito;3434341
0;10;23321;juan;3434341
0;11;23321;andresito;3434341
0;12;23321;hey;3434341
0;13;4243234;heyling;555445
0;14;34343434;tefa;232323
0;15;34343434;4334peee;232323
0;16;3424324;fddsdf;3232
0;17;3434;esdds;2243232
0;18;334;dffd;33223
0;19;54;dfdf3;334
0;20;432;dds;2323
0;21;2332;eere;4343
